gvkey,tic,cik,conm
001000,AE.2,,A & E PLASTIK PAK INC
001001,AMFD.,0000723576,A & M FOOD SERVICES INC
001002,AAIC.1,0001306124,AAI CORP
001003,ANTQ,0000730052,A.A. IMPORTING CO INC
001004,AIR,0000001750,AAR CORP
001005,ABA.2,,A.B.A. INDUSTRIES INC
001006,1145B,,ABC INDS INC
001007,4135B,0000001882,ABKCO INDUSTRIES INC
001008,ABMC.,,ABM COMPUTER SYSTEMS INC
001009,ABSI.1,0000313368,ABS INDUSTRIES INC
001010,4165A,0000910627,ACF INDUSTRIES INC
001011,ACSE,0000702511,ACS ENTERPRISES INC
001012,6927B,0000002134,ACS INDUSTRIES INC
001013,ADCT.1,0000061478,ADC TELECOMMUNICATIONS INC
001014,3ADDS,0000003141,ADDSCO INDUSTRIES INC
001015,4327B,0000354609,ADI ELECTRONICS INC
001016,AECE,0000317539,AEC INC
001017,AELNA,0000004911,AEL INDUSTRIES  -CL A
001017,3AELNB,0000004911,AEL INDUSTRIES  -CL A
001018,2938B,0000002638,AES TECHNOLOGY SYSTEMS INC
001019,AFAP,0000002668,AFA PROTECTIVE SYSTEMS INC
001020,5548C,0000007668,AFG INDUSTRIES INC
001021,IWKS,0000319126,AFP IMAGING CORP
001022,AGMN.1,0000002801,AGM INDUSTRIES INC
001023,AGS.2,0000002844,AGS COMPUTERS INC
001024,AIAQ,0001749211,A I A INDUSTRIES INC
001025,4225B,0000002880,A I C INTL INC
001026,AIDCA,0000002886,AID INC-DEL CL A
001027,AIM.3,,A I M COS
001028,7547B,0000354173,AIM TELEPHONES INC
001029,AINSE,,A.I.N. LEASING CORP
001030,1410B,,A I T S INC
001031,AJ.2,,A J INDS INC
001032,1412B,0000005340,AKF FOODS INC
001033,3ALDK,0000003392,A L D INC
001034,ALO.2,0000730469,ALPHARMA INC  -CL A
001034,5418B,0000730469,ALPHARMA INC  -CL A
001035,DBR.,,AMCA INTERNATIONAL LTD
001036,UDI.,0000029590,UNITED DOMINION INDUSTRIES
001036,UDI.1,0000029590,UNITED DOMINION INDUSTRIES
001037,AMCM.,0000318580,AM COMMUNICATIONS INC
001038,AEN.2,,AMC ENTERTAINMENT INC -OLD
001038,5294B,,AMC ENTERTAINMENT INC -OLD
001039,AMC.3,0000001857,AMC INVESTORS INC
001040,AMF.2,0000006091,AMF INC
001041,ARCO.1,0000006113,AMI INDUSTRIES INC
001042,AMIS.1,0000355713,AMI SYSTEMS INC
001043,MTI.3,0000002310,MULTIGRAPHICS INC
001044,AMK.3,0000006143,AMK CORP
001045,AAMRQ,0000006201,AMERICAN AIRLINES GROUP INC
001045,AAR,0000006201,AMERICAN AIRLINES GROUP INC
001045,AAL,0000006201,AMERICAN AIRLINES GROUP INC
001045,AALCP,0000006201,AMERICAN AIRLINES GROUP INC
001046,4303B,,AMS/REALSTAR INC
001047,3050B,0000352979,ANEFCO INC
001048,4267A,0000065695,ANR PIPELINE CO
001049,2952B,,APF ELECTRONICS
001050,CECO,0000003197,CECO ENVIRONMENTAL CORP
001051,APW.1,0000006837,API INSTRUMENTS CO
001052,APITS,0000006839,API TRUST
001053,2250B,0000006940,AFI CORP
001054,ASKI,0000354797,ASK GROUP INC
001055,ASTA.,0000725182,AST RESEARCH INC
001056,ARXX,0000002601,AEROFLEX INC
001057,8892A,0000001866,ABEX CORP
001058,4328B,0000006841,APL CORP
001059,APS.1,,A P S INC
001061,ARII.,0000007202,ARI INDUSTRIES INC
001062,ASA,0001230869,ASA GOLD AND PRECIOUS METALS
001063,1690B,,ASI
001064,1491B,0000007713,ASI COMMUNICATIONS INC
001065,7200B,0000008076,AT&E CORP
001066,ATEE,0000042211,ATE ENTERPRISES INC
001067,ATQ.1,0000929245,ATI INC
001068,1195B,,A T INDUSTRIES INC
001069,ATVSQ,0000724768,ATV SYSTEMS INC
001070,AVC.1,0000008789,AVC CORP
001071,AVEO.1,,A V ELECTRONICS INC
001072,AVX,0000859163,AVX CORP
001073,3AWCSA,0000319037,AW COMPUTER SYSTEMS  -CL A
001074,AZL.,0000007237,AZL RESOURCES INC
001075,PNW,0000764622,PINNACLE WEST CAPITAL CORP
001076,PRG,0001808834,PROG HOLDINGS INC
001076,AAN.2,0001808834,PROG HOLDINGS INC
001077,ARON.,,AARONSON BROTHERS STORES CP
001078,ABT,0000001800,ABBOTT LABORATORIES
001079,ARPC.,0000007522,ARP CORP
001080,APT.A,,ABERDEEN PETROLEUM CORP-CL A
001081,ABY.2,0001039778,ABITIBI CONSOLIDATED INC
001081,A.Z,0001039778,ABITIBI CONSOLIDATED INC
001082,SERV.1,0000001923,SERVIDYNE INC
001083,3ACAJC,0000098707,ACA JOE INC
001084,WDDD,0000001961,WORLDS INC
001085,T1,0000106049,AT&T TECHNOLOGIES INC
001086,3AMETE,0000001969,AMETECH INC
001087,ACAD.,0000320029,ACADIA PETROLEUM CORP
001088,ALAR.1,0000215005,ACAPULCO RESTAURANTS
001089,ACEL.1,,ACCELERATORS INC
001090,1416B,0000001988,ACCESS CORP
001090,4831B,0000001988,ACCESS CORP
001090,4834B,0000001988,ACCESS CORP
001091,ACO.2,,ACCO WORLD CORP
001092,ACCUQ,,ACCU TEST SYSTEMS INC
001093,ACRA.,0000050346,ACCURAY CORP
001094,ACETQ,0000002034,ACETO CORP
001095,AK,0000319120,ACKERLEY GROUP INC
001095,6482B,0000319120,ACKERLEY GROUP INC
001095,6489B,0000319120,ACKERLEY GROUP INC
001096,MRCBF,,MORGUARD CORP
001096,MRC.,,MORGUARD CORP
001097,ACMT,0000002062,ACMAT CORP  -CL A
001097,ACMTA,0000002062,ACMAT CORP  -CL A
001098,AMT.1,0000869676,ACME-CLEVELAND CORP
001098,8138B,0000869676,ACME-CLEVELAND CORP
001099,ACEE,0000002070,ACME ELECTRIC CORP
001100,ACME.,0000002075,ACME GENERAL CORP
001101,1438B,,ACME-HAMILTON MFG CORP
001102,AIDO.1,,ACME INDS INC
001103,5848B,,ACME PRECISION PRODUCTS INC
001104,ACU,0000002098,ACME UNITED CORP
001105,ALD.4,,ACRES LTD
001106,ACRQE,0000079397,ACRO ENERGY CORP
001107,2675B,0000002024,ACE HARDWARE CORP
001107,4972B,0000002024,ACE HARDWARE CORP
001107,4973B,0000002024,ACE HARDWARE CORP
001108,PRHD,,PRINCETON HOLDINGS INC
001109,AHIXD,0000747435,ALUF HOLDINGS INC
001110,CPD.3,,ATI CORP
001111,ATVI.1,,ACTIVISION INC
001112,ACTM.,0000730066,ACTMEDIA INC
001113,ATN.1,,ACTON CORP  -OLD
001114,ACSH,0000002166,ACUSHNET CO
001115,ADAC.,0000313798,ADAC LABORATORIES
001116,ADAI20,0000008050,ADACORP INC
001117,BKTI,0000002186,BK TECHNOLOGIES CORP
001118,ADG.1,,ADAMS DRUG INC
001119,ADX,0000002230,ADAMS DIVERSIFIED EQUITY FD
001120,ALL.2,,ADAMS-MILLIS CORP
001121,AE,0000002178,ADAMS RESOURCES & ENERGY INC
001122,AAR.1,,ADAMS RUSSELL
001123,ADCR,0000742808,ADCOR ELECTRONICS INC
001124,ADSNB,,ADDISON-WESLEY PUB  -CL B
001124,4807B,,ADDISON-WESLEY PUB  -CL B
001125,4304B,0000730347,ADDITIVE TECHNOLOGY CORP
001126,ADDC,0000002308,ADDMASTER CORP
001127,3TMAIE,0000002337,ADHESIVES & CHEMICALS INC
001128,ADIA.,0000752200,ADIA SERVICES INC
001129,AFSI.1,0000355565,ADVANCED FUEL SYSTEMS INC
001130,5710B,0000714420,ADVANCED LOGIC SYSTEMS INC
001131,ADLY,0000002369,ADLEY CORP
001132,DTMO,0000716453,ADMINISTRATIVE SYSTEMS INC
001133,ADL.1,0000002387,ADMIRAL CORP
001134,ADBEA,0000002408,ADOBE BUILDING CENTERS INC
001135,AOI.1,0001076034,ADOBE OIL & GAS CORP
001136,ADRS,0000002424,ADRIAN STEEL CO
001137,ADVC.,,ADVANCE CIRCUITS INC
001138,AROS.,0000002457,ADVANCE ROSS CORP
001139,ACTC.,0000002463,ADVANCED CHEMICAL TECHNOLOGY
001140,5022B,0000724899,ADVANCED COMMUNICATIONS INC
001141,AVCD,0000002467,ADVANCED COMPUTER TECHNIQUES
001142,5119B,0000320179,ADVANCED ENERGY CORP
001143,3AVEG,0000740966,ADVANCED ENERGY RESOURCES
001144,2267B,,ADVANCED DRILLING SYSTEMS
001145,ASY.2,,ADVANCED SYSTEMS INC
001146,ADVNQ.,0000002506,ADVENT CORP
001147,AUNL,0000002517,ADVERTISING UNLIMITED INC
001148,ADV.2,0000319489,ADVEST GROUP INC
001149,ADV.1,,ADVOCATE MINES LTD
001150,AO.1,0000002552,AEGIS CORP
001151,AQTN,0000736970,AEQUITRON MEDICAL INC
001152,AREO,,AERCO CORP CL A
001153,AER.2,,AERO-FLOW DYNAMICS INC
001154,AERS.,0000002589,AERO SYSTEMS ENGINEERING INC
001155,AESM,0000002590,AERO SYSTEMS INC
001156,AOX.1,0000002597,AERODEX INC
001157,AJT,0000002602,AEROJET GENERAL CORP
001158,AGRO.,0000002604,AEROLOGICAL RESEARCH INC
001159,ARN.2,0000002611,AERONCA INC
001160,ARXO,,AERONIX INC
001161,AMD,0000002488,ADVANCED MICRO DEVICES
001162,ADLA,,ADVENTURE LANDS OF AMERICA
001163,3ADNME,0000315698,ADVANCED MONITORING SYS INC
001164,WCOEQ,0000723527,MCI INC
001164,WCOMP,0000723527,MCI INC
001164,MCIP,0000723527,MCI INC
001165,BFTC,0000350200,B-FAST CORP
001165,ZZZZ19,0000350200,B-FAST CORP
001166,ASMIY,0000351483,ASM INTERNATIONAL NV
001166,ASMXF,0000351483,ASM INTERNATIONAL NV
001166,ASMIY,0000351483,ASM INTERNATIONAL NV
001167,AVNT.1,0000355004,ADVANT CORP
001168,4092B,0000717801,ADVANCED ENERGY CONCEPTS INC
001169,AGSI.,,ADV GENETIC SCIENCES
001169,4809B,,ADV GENETIC SCIENCES
001170,ATEL.,,ADVANCED TELECOMMUN-OLD
001171,ATEL.1,0000729647,ADVANCED TELECOMMUNICATIONS
001172,APSI.1,,ADV PROFESSIONAL SALES-OLD
001173,AIM.1,0000109471,AEROSONIC CORP
001174,AERO.,,AEROTRON INC
001175,AVX.2,0000002636,AEROVOX CORP
001176,AET1,,AETNA BUSINESS CREDIT INC
001177,AET,0001122304,AETNA INC
001177,AEF.3,0001122304,AETNA INC
001178,AFBK.,0000002682,AFFILIATED BANKSHARES COLO
001179,AFD,0000002684,AFFILIATED CAPITAL CORP
001180,AFH.1,,AFFILIATED HOSPITAL PRODS
001791,2231B,,ASECO INC
001181,AFP.1,0000849696,AFFILIATED PUBNS
001181,5874B,0000849696,AFFILIATED PUBNS
001182,TUX.1,0000002741,AFTER SIX INC
001183,IDAI.,0001004981,IDNA INC
001184,AGGY.1,0000353335,AGGIE OIL CO
001185,AGN.4,,AGNEW SURPASS SHOE STORES
001186,AEM,0000002809,AGNICO EAGLE MINES LTD
001186,AEM.,0000002809,AGNICO EAGLE MINES LTD
001186,AEMLW,0000002809,AGNICO EAGLE MINES LTD
001186,AEMZF,0000002809,AGNICO EAGLE MINES LTD
001186,AEM.WT.U,0000002809,AGNICO EAGLE MINES LTD
001187,AG.1,,AGNICO MINES LTD
001188,AGOLC,,AGOIL INC-OLD
001189,AGR.5,,AGRA INDUSTRIES LTD
001189,AGR.B.,,AGRA INDUSTRIES LTD
001189,AGR.7,,AGRA INDUSTRIES LTD
001190,AGDY,0000002817,AGRI DYNAMICS INC
001191,1065B,0000053553,AGROW INDUSTRIES INC
001192,AGG.2,0000002850,AGUIRRE CO
001193,1900B,0000002852,AGWAY INC
001194,AHM.1,0000771667,AHMANSON (H F) & CO
001195,AASS,,AID AUTO STORES INC  -OLD
001196,AKN.1,0000002899,AIKEN INDUSTRIES INC
001197,AEENQ,0000002904,AILEEN INC
001198,AIO.,,AIMCO INDUSTRIES LTD
001199,AIDI,,AGRICULTURAL & INDL DEV INC
001200,AIAO,0000002926,AIR CALIFORNIA
001201,ARCE.1,0000002929,AIR CARGO EQUIPMENT CORP
001202,ACHPQ,0000352059,AIR CHAPARRAL INC
001203,AEIC,0000700674,AIR EXPRESS INTERNATIONAL CP
001204,AIRQC,,AIR FLORIDA SYSTEM INC
001205,1335B,0000002947,AIR FORWARDERS INC
001206,AIRI.1,,AIR INDS CORP
001207,AKNG,0000002953,AIR KING CORP
001208,AMWI.,0000310454,AIR MIDWEST INC
001209,APD,0000002969,AIR PRODUCTS & CHEMICALS INC
001210,AIRT,0000353184,AIR T INC
001210,AIRTW,0000353184,AIR T INC
001210,AIRTP,0000353184,AIR T INC
001211,AWT.,,AIR WEST INC
001212,ARWS,0000717324,AIR WISCONSIN SERVICES INC
001213,ABF,0000003000,AIRBORNE INC
001214,ACF.1,0000793154,ACI HOLDING INC
001215,AN.1,0000003010,AIRCO INC
001216,1642B,,AIRCRAFT INSTRUMENT & DEV
001217,ALFT,0000003042,AIRLIFT INTERNATIONAL INC
001218,AXE.1,0000003050,AIRPAX ELECTRONICS INC
001219,AWI.1,0000003086,AIRWICK INDUSTRIES INC
001220,AJX.1,0000003094,AJAX MAGNETHERMIC CORP
001221,AXO.2,,AKZONA
001222,ALA.2,0000353502,ALA MOANA HAWAII PROPERTIES
001223,1358B,,ALABAMA BY-PRODUCTS  -CL B
001224,EGN1,0000003146,SPIRE ALABAMA INC
001225,SO1,0000003153,ALABAMA POWER CO
001225,ALP.PN,0000003153,ALABAMA POWER CO
001225,ALP.PO,0000003153,ALABAMA POWER CO
001225,ALP.PP,0000003153,ALABAMA POWER CO
001225,ALF.1,0000003153,ALABAMA POWER CO
001225,ALZ,0000003153,ALABAMA POWER CO
001225,ALP.PQ,0000003153,ALABAMA POWER CO
001226,AXO.1,0000355115,ALAMCO INC
001226,5884B,0000355115,ALAMCO INC
001227,ATO.3,,ALAMITO CO
001228,ALAN,0000098618,ALANCO TECHNOLOGIES INC
001229,ALTS.,0000003193,ALANTHUS CORP
001230,ALK,0000766421,ALASKA AIR GROUP INC
001231,3AGLD,0000003228,ALASKA GOLD CO
001232,ALKA,0000003241,ALASKA INTL INDUSTRIES INC
001233,3ANWP,0000313809,ALASKA NORTHWEST PROPERTIES
001234,ATRI,0000701288,ATRION CORP
001235,AWS.1,0000003292,ALBA-WALDENSIAN INC
001236,ABY.,,ALBANY INTL CORP  -OLD
001237,ALBE,0000003310,ALBEE HOMES INC
001238,AOG.3,0000927600,ALBERTA ENERGY CO LTD
001238,AEC.1,0000927600,ALBERTA ENERGY CO LTD
001239,ACV.1,0001368457,ALBERTO-CULVER CO
001239,ACV.A,0001368457,ALBERTO-CULVER CO
001240,ABS.1,0000003333,ALBERTSON'S INC
001241,6584B,,ALBION INTL RESOURCES INC
001242,2873B,,ALBUQUERQUE WESTN SOLAR INDS
001243,AL.1,0000004285,ALCAN INC
001243,AL.Z,0000004285,ALCAN INC
001244,ALCD.,0000708484,ALCIDE CORP
001245,ABC1,0001476003,AMERISOURCE CORP
001246,IKN,0000003370,IKON OFFICE SOLUTIONS
001247,ALC.1,0000003379,ALCOLAC INC
001248,ALB.1,0000003382,ALCON LABORATORIES INC
001249,4306B,0000351537,ALDEBARAN DRILLING CO INC
001250,ADNE,0000003398,ALDEN ELECTRONICS INC
001250,6054B,0000003398,ALDEN ELECTRONICS INC
001251,2904B,0000003417,ALDON INDUSTRIES INC
001252,ALDC.,,ALDRICH CHEMICAL INC
001253,AAL.1,0000003449,ALEXANDER & ALEXANDER
001253,4736B,0000003449,ALEXANDER & ALEXANDER
001253,4737B,0000003449,ALEXANDER & ALEXANDER
001254,MATX,0000003453,MATSON INC
001255,AEOK,0000355143,ALEXANDER ENERGY CORP
001256,AALX,,ALEXANDER HAMILTON INST INC
001257,ALX,0000003499,ALEXANDER'S INC
001258,CGYNQ,0000354767,CAPCO ENERGY INC
001259,ACEL.,0000708717,TAMIR BIOTHECHNOLOGY INC
001260,AFN.2,0000724989,ADRIEN ARPEL INC
001261,ALAQE,,ALGERAN INC
001262,AGMJF,,ALGOMA CENTRAL CORP
001262,ALC.,,ALGOMA CENTRAL CORP
001263,3ALGSF,0001860805,ALGOMA STEEL GROUP INC
001263,ALG.1,0001860805,ALGOMA STEEL GROUP INC
001263,9316B,0001860805,ALGOMA STEEL GROUP INC
001263,8212B,0001860805,ALGOMA STEEL GROUP INC
001263,9317B,0001860805,ALGOMA STEEL GROUP INC
001263,8213B,0001860805,ALGOMA STEEL GROUP INC
001263,0236B,0001860805,ALGOMA STEEL GROUP INC
001263,AGA.1,0001860805,ALGOMA STEEL GROUP INC
001263,0065A,0001860805,ALGOMA STEEL GROUP INC
001263,0064A,0001860805,ALGOMA STEEL GROUP INC
001263,ASTL,0001860805,ALGOMA STEEL GROUP INC
001263,ASTL.,0001860805,ALGOMA STEEL GROUP INC
001263,ASTLW,0001860805,ALGOMA STEEL GROUP INC
001264,3ALGD,0000003535,ALGOREX CORP
001265,AEIR,0000731297,AMERICAN EAGLE RESOURCES INC
001266,ALCO,0000003545,ALICO INC
001267,1957B,0000003550,ALISON AYRES INC
001268,TAABQ,,ALL AMERICAN BURGER INC
001269,AAGC.,0000774380,ALL AMERICAN GOURMET CO
001270,AAMN,0000225014,ALL AMERICAN INDUSTRIES INC
001271,3ALSE,0000739624,ALL SEASONS RESORTS INC
001272,PBAJ,0000745543,PETRO USA INC
001272,3ATPTZ.,0000745543,PETRO USA INC
001273,DRC1,,ALL-STATES LEASING CO
001274,Y,0000775368,ALLEGHANY CORP
001275,ALGH.,,ALLEGHENY & WESTERN ENER-OLD
001276,AWRY,0000003650,ALLEGHENY & WESTERN RAILWAY
001277,5566C,0000003656,ALLECO INC
001278,3SOCNQ,0000003662,SUNBEAM CORPORATION
001279,AYE,0000003673,ALLEGHENY ENERGY INC
001280,ALEO,,ALLEGRI-TECH INC
001281,ALN.2,0000003721,ALLEN TELECOM INC
001282,ALLN.,,ALLEN (R C) INC
001283,AORGB,0000003753,ALLEN ORGAN CO  -CL B
001283,AORGA,0000003753,ALLEN ORGAN CO  -CL B
001284,AGN.3,0000215038,ALLERGAN PHARMACEUTICALS INC
001285,6024B,,ALLIANCE TIRE &RUBBER  -CL A
001286,3ALNI,0000745452,ALLIANCE NORTHWEST INDS INC
001287,AIIO,0000003819,ALLIED AERO INDUSTRIES INC
001288,QAAX,,ALLIED ARTISTS INDUSTRIES
001289,AAP.1,0000003827,ALLIED ARTISTS PICTURES CORP
001290,ALBN,,ALLIED BANCSHARES INC-TX
001291,ACC.2,,ALLIED CONTROL INC
001292,2953B,0000003877,ALLIED FARM EQUIPMENT  -CL A
001293,ALFD.,0000003883,ALLIED FOODS INC
001294,ALM.1,,ALLIED MAINTENANCE
001295,ADS.2,,ALLIED MILLS INC
001296,HOPE.1,0000727326,ALLIED NURSING CARE INC
001297,ADPC,0000003941,ALLIED PRODUCTS
001298,AIOO,,ALLIED RESEARCH ASSOC INC
001299,ASCY,0001172335,ALLIED SECURITY INC-OLD
001300,HON,0000773840,HONEYWELL INTERNATIONAL INC
001300,HON.WI,0000773840,HONEYWELL INTERNATIONAL INC
001301,9174A,,ALLIED STORES
001302,ASU.1,,ALLIED SUPERMARKETS
001303,ALTGQ,,ALLIED TECHNOLOGY INC
001304,AT.3,,ALLIED TELEPHONE
001305,AS.1,0000003971,ALLIED THERMAL CORP
001306,2937B,0000003975,ALLIED VAN LINES INC
001307,3ACLM1,,ALLIS-CHALMERS CREDIT CORP
001308,ALY,0000003982,ALLIS-CHALMERS ENERGY INC
001309,ASE.1,0000003998,ALLISON STEEL MFG CO
001310,1311B,0000103348,ALLISTER CORP
001311,ALC.2,0000783425,ALC COMMUNICATIONS INC
001312,2874B,0000004006,ALLOY METAL PRODUCTS INC
001313,AU.5,,ALLOYS UNLIMITED INC
001314,ALR.3,0000004013,ALLRIGHT AUTO PARKS INC
001315,AGAI.,0000731773,ALLY & GARGANO INC
001316,2058A,0000215042,ALLSTATE FINANCIAL CORP
001317,ALIO.,,ALLSTATE INDUSTRIES INC
001318,AT.2,0000065873,ALLTEL CORP
001318,AT.P,0000065873,ALLTEL CORP
001319,ALYN.,0000004047,ALLYN & BACON INC
001320,ALV.3,,ALMADEN VINEYARDS INC-DEL
001321,ALN.1,,ALMINEX LTD
001322,ALY.1,0000042675,ALMY STORES INC
001323,EKO.1,,ALNAN INC
001324,SCHR.1,0000703598,SCHERER HEALTHCARE INC
001325,ALO.4,0000004082,ALOHA INC
001326,2799B,0000004107,ALPEX COMPUTER CORP
001327,SWKS,0000004127,SKYWORKS SOLUTIONS INC
001328,FBSM,,ALPHA SOLARCO INC
001329,ALFA.2,0000004156,ALPHANUMERIC INC
001330,ALTP,0000004157,ALPHATYPE CORP
001331,APNI,0000004164,ALPINE GROUP INC
001332,3ASUPE,0000004165,ASIA SUPERNET CORP
001333,APET,0000090685,ALPHA PETROLEUM EXPLORATION
001334,NQLIQ,0001122965,NQL INC
001335,AT4,0000066081,ALLTEL NEW YORK INC
001336,AT2,0000065899,ALLTEL PENNSYLVANIA INC
001337,AT1,0000031140,ALLTEL ILLINOIS INC
001338,ALTE.1,,ALTA ENERGY CORP-OLD
001338,8979B,,ALTA ENERGY CORP-OLD
001339,1003B,0000004199,ALTA INDUSTRIES CORP
001340,2090B,0000055905,ALTA LOMA OIL CO
001341,ALTA.1,0000004206,ALTAIR CORP-DEL
001341,ATCD,0000004206,ALTAIR CORP-DEL
001342,AAIR.1,0000017592,ALTAIR CORP-PUERTO RICO
001343,ALW.1,,ALTAMIL CORP
001344,4156B,0000004215,ALTEC CORP
001345,3ALRM,0000315127,ALTERMAN INVESTMENT FUND
001346,ALTN.1,0000744084,ALTERNACARE CORP
001347,AOC.2,0000004233,ALTEX OIL CORP
001348,3044B,0000004241,ALTIUS CORP
001349,ALTN.2,0000004253,ALTON PACKAGING CORP
001350,ALTO.1,0001430124,ALTOS COMPUTER SYS
001350,4804B,0001430124,ALTOS COMPUTER SYS
001351,ALRN.,0000741339,ALTRON INC
001352,GYLD,,ARROW DOW JONES GLBL YLD ETF
001356,AA.3,,ALCOA INC
001356,AA.P,,ALCOA INC
001356,AA.PB,,ALCOA INC
001357,AL1,,ALUMINUM CO OF CANADA LTD
001357,5137A,,ALUMINUM CO OF CANADA LTD
001358,ALY.2,0000004288,ALUMINUM SPECIALTY CO
001359,AZA.1,0000004310,ALZA CORP
001359,4926B,0000004310,ALZA CORP
001359,4927B,0000004310,ALZA CORP
001360,SNTO,0000004317,SENTO CORP
001361,7564B,0000004325,AMALGAMATED AUTOMOTIVE INDS
001362,AGM.2,0000004339,AMALGAMATED SUGAR CO
001363,BSWY,0000004344,BESTWAY INC
001364,4150B,,AMAREX INC
001365,AMX.2,0000004363,AMAX INC
001366,AB.1,0000004368,AMBAC INDUSTRIES INC
001367,3AMBEQ,0000276750,AMBER RESOURCES CO OF COLO
001368,AOGCE,0000311342,AMBRA OIL & GAS CO
001369,ABI.1,0000319678,AMBRIT INC
001370,AMED.,0000724126,AMBULATORY MEDICAL CARE INC
001371,AMC.4,,AMCAN INDUSTRIES CORP
001372,AICOQ,0000027425,AMCAST INDUSTRIAL CORP
001373,AIU.,,AMCO INDS INC
001374,AMLE,0000004410,AMCOLE ENERGY CORP
001375,ADSO.1,0000004786,AMDISCO CORP
001376,AMEC,0000004435,AMECO INC
001377,AMY.1,0000004436,AMEDCO INC
001378,AMLC,0000004438,AMELCO CORP
001379,AAE.2,,AMERACE CORP
001380,HES,0000004447,HESS CORP
001380,AHC.2,0000004447,HESS CORP
001380,HES.PA,0000004447,HESS CORP
001381,3AMRFE,,AMERFORD INTERNATIONAL CORP
001382,LCC,0000701345,US AIRWAYS GROUP INC
001382,9050B,0000701345,US AIRWAYS GROUP INC
001383,5714B,0000813606,AMERICAN ADVENTURE INC
001384,AMAG.1,0000004504,AMERICAN AGGREGATES CORP
001385,4037B,,AMERICAN AGRI-FUELS CORP
001386,AGR.1,,AMERICAN AGRONOMICS
001387,AAF.1,,AMERICAN AIR FILTER INC
001388,AMR1,0000004515,AMERICAN AIRLINES INC
001389,AMYO,0000004528,AMERICAN ALLOYS CORP
001390,AMCA.1,,AMERICAN APPRAISAL ASSOC INC
001391,AAC.4,0000004421,AMCORD INC
001392,AMH.1,0000004427,AMDAHL CORP
001393,UHAL,0000004457,U-HAUL HOLDING CO
001393,8771B,0000004457,U-HAUL HOLDING CO
001393,AO.PA,0000004457,U-HAUL HOLDING CO
001393,UHAL.B,0000004457,U-HAUL HOLDING CO
001394,ABA.1,0000004563,AMERICAN BAKERIES CO
001395,ABN.2,0000004579,AMERICAN BANK NOTE CO
001396,1041B,,AMERICAN BEVERAGE CORP
001397,ABLT,0000004611,AMERICAN BILTRITE INC
001402,ABMD.,0000004617,AMERICAN BIOMEDICAL CORP
001403,1959B,,AMERICAN BOOK-STRATFRD PRESS
001408,BEAM.2,0000789073,BEAM INC
001408,BEAM.PA,0000789073,BEAM INC
001409,ABC.2,0000897584,AMERICAN BROADCASTING
001410,ABM,0000771497,ABM INDUSTRIES INC
001411,ABP.2,0000004672,AMERICAN BUSINESS PRODS/GA
001412,AB.2,0000813608,ABI AMERICAN BUSINESSPHONE
001413,1952B,0000004688,AMERICAN CAMPGROUNDS  -CL A
001414,PA.3,0001475922,PRIMERICA INC
001414,PRI,0001475922,PRIMERICA INC
001415,ACC.1,0000004707,AMERICAN CAPITAL CORP-OLD
001416,ACCN,0000760684,AMERICAN CAPITAL CORP
001417,VBF,0000005094,INVESCO BOND FUND
001418,TFHIZ,0000719271,TRANSFINANCIAL HOLDINGS INC
001419,ACT.2,0000706169,AMERICAN CENTURY CORP
001420,ACN.4,,AMERICAN CHAIN & CABLE INC
001421,ACLP.,0000205015,AMERICAN CLIPPER CORP
001422,3ASTV.,0000357070,AMERICAN COMMUN & TV
001423,4643B,0000707611,AMERICAN COMMUNITY SERVICES
001424,1532B,,AMERICAN COMMUNITY SYS INC
001425,ACS.1,,AMERICAN CONSUMER INDS INC
001426,AMKKQ,0000314474,AMERICAN CONTINENTAL CORP
001427,ACI.2,,AMERICAN CONTROLLED INDS
001428,ACR.4,,AMERICAN CREDIT
001429,2388B,0000004828,AMERICAN CRYSTAL SUGAR CO
001430,ACY.1,0000004829,AMERICAN CYANAMID CO
001431,3ACYGE,0000004833,AMERICAN CYTOGENETICS
001432,ADAX.,,AMERICAN/DAVEY CORP
001433,ADGN,0000351923,AMERICAN DIAGNOSTICS CORP
001434,ADT.2,0000004854,ADT INC -OLD
001435,AMRL,0000201076,AMERICAN ATLANTIC CO
001436,ADUO,,AMERICAN DURALITE CORP-CL A
001437,AMDC.,0000004886,AMERICAN DYNAMICS CORP
001438,2567B,,AMERICAN EAGLE PETROLEUM LTD
001438,8947B,,AMERICAN EAGLE PETROLEUM LTD
001439,ECOL,0001783400,US ECOLOGY INC
001439,ECOLW,0001783400,US ECOLOGY INC
001440,AEP,0000004904,AMERICAN ELECTRIC POWER CO
001440,AEP.Z,0000004904,AMERICAN ELECTRIC POWER CO
001440,AEP.PA,0000004904,AMERICAN ELECTRIC POWER CO
001440,AEPPL,0000004904,AMERICAN ELECTRIC POWER CO
001440,AEPPZ,0000004904,AMERICAN ELECTRIC POWER CO
001441,MNSF,0000352281,MANSFELDER METALS LTD
001442,4307B,0000726987,AMERICAN EMERGICENTER INC
001443,2351B,,AMERICAN ENERGY & TECHNOLOGY
001444,AVCS,0000315428,AMERICAN VANTAGE COMPANIES
001445,AEQTS,,AMERICAN EQUITY INVT TRUST
001446,AX.1,0000715428,AMERICAN EXPLORATION CO
001447,AXP,0000004962,AMERICAN EXPRESS CO
001447,AXD.1,0000004962,AMERICAN EXPRESS CO
001448,AXP1,0000004969,AMERICAN EXPRESS CREDIT CORP
